bgrp,DWDbyBG
360050001000,0.0
360050001001,1395.248
360050002000,0.0
360050002001,140.896
360050002002,248.329
360050002003,155.992
360050004000,0.0
360050004001,121.523
360050004002,180.397
360050004003,308.336
360050004004,82.022
360050016001,330.477
360050016002,102.904
360050016003,95.86
360050016004,180.649
360050019000,0.0
360050019001,107.182
360050019002,9.435
360050019003,124.542
360050019004,0.0
360050019005,0.0
360050020001,144.041
360050020002,255.626
360050020003,312.11
360050020004,173.101
360050020005,89.444
360050020006,124.039
360050023001,343.434
360050023002,60.636
360050023003,216.502
360050024000,0.0
360050024001,0.503
360050025001,125.926
360050025002,203.041
360050025003,139.261
360050025004,116.113
360050025005,106.427
360050027011,215.999
360050027012,175.617
360050027021,150.708
360050027022,111.459
360050027023,183.039
360050027024,117.749
360050028000,0.0
360050028001,178.384
360050028002,253.235
360050028003,137.625
360050028004,133.474
360050031001,200.903
360050033001,64.535
360050033002,162.03
360050033003,202.79
360050035001,106.049
360050035002,193.606
360050035003,173.478
360050037001,30.821
360050038001,159.011
360050039001,178.007
360050039002,216.376
360050039003,97.369
360050039004,137.499
360050039005,185.303
360050040011,178.636
360050041001,225.434
360050041002,204.677
360050041003,8.68
360050041004,331.986
360050042001,94.853
360050042002,302.675
360050042003,166.056
360050042004,96.363
360050042005,112.843
360050042006,0.0
360050042007,125.8
360050043001,133.6
360050043002,234.743
360050043003,144.418
360050043004,123.284
360050044001,177.378
360050044002,61.139
360050044003,206.689
360050044004,158.256
360050046001,195.619
360050048001,224.679
360050048002,263.803
360050050011,182.41
360050050012,175.617
360050050013,121.145
360050050014,120.516
360050050021,295.63
360050050022,134.354
360050050023,149.45
360050050024,153.099
360050051001,37.237
360050051002,351.611
360050051003,342.05
360050052001,90.199
360050052002,165.301
360050053001,326.074
360050053002,261.287
360050054001,145.173
360050054002,341.799
360050054003,112.843
360050054004,136.493
360050056001,112.591
360050056002,99.382
360050056003,129.071
360050059021,111.71
360050059022,213.105
360050060001,142.028
360050061001,65.793
360050061002,400.17
360050061003,1.132
360050062001,161.276
360050062002,197.38
360050062003,252.732
360050062004,142.657
360050062005,74.348
360050063001,0.0
360050063002,53.339
360050063003,107.685
360050063004,122.278
360050063005,129.951
360050063006,250.971
360050064001,228.201
360050064002,81.896
360050064003,75.983
360050064004,112.968
360050065001,127.687
360050065002,357.398
360050065003,110.956
360050065004,75.354
360050067001,138.757
360050067002,146.305
360050067003,183.794
360050067004,193.103
360050067005,100.514
360050067006,116.113
360050068001,125.926
360050068002,86.676
360050068003,151.841
360050069001,359.536
360050069002,206.438
360050069003,195.493
360050069004,190.084
360050070001,324.187
360050070002,99.256
360050070003,153.224
360050071001,110.578
360050071002,129.322
360050072001,194.613
360050072002,259.777
360050072003,120.265
360050072004,108.691
360050073001,139.135
360050073002,142.657
360050073003,207.947
360050074001,156.495
360050074002,163.792
360050074003,146.431
360050075001,179.139
360050075002,200.525
360050075003,179.265
360050075004,53.591
360050076001,76.235
360050076002,131.713
360050076003,118.629
360050076004,192.977
360050076005,133.348
360050077001,242.417
360050078001,186.184
360050078002,331.231
360050078003,146.683
360050078004,143.286
360050079001,203.293
360050079002,91.205
360050079003,128.316
360050079004,174.862
360050079005,116.365
360050079006,132.971
360050083001,131.964
360050083002,91.96
360050083003,172.849
360050083004,175.491
360050083005,104.666
360050083006,97.369
360050084001,102.527
360050084002,196.122
360050085001,115.107
360050085002,227.698
360050085003,83.531
360050085004,102.15
360050085005,158.005
360050086001,106.175
360050086002,211.973
360050086003,207.193
360050087001,118.126
360050087002,177.001
360050087003,119.258
360050087004,130.455
360050087005,142.783
360050089001,227.698
360050089002,171.969
360050090000,0.0
360050090001,4.906
360050090002,26.292
360050090003,104.162
360050090004,98.627
360050090005,227.321
360050092001,92.966
360050092002,97.243
360050092003,206.815
360050092004,119.51
360050092005,114.604
360050093000,0.0
360050093001,6.164
360050093002,145.676
360050093003,224.05
360050093004,170.082
360050093005,133.977
360050093006,119.636
360050096001,234.491
360050096002,91.834
360050098001,145.802
360050098002,108.565
360050098003,109.572
360050098004,81.644
360050098005,188.197
360050110000,0.0
360050110001,18.996
360050115020,0.0
360050115021,222.918
360050115022,202.79
360050115023,120.265
360050117000,0.0
360050117001,198.387
360050117002,1.006
360050118000,0.0
360050118001,332.993
360050118002,138.883
360050118003,168.32
360050119001,258.393
360050119002,134.229
360050119003,81.267
360050119004,107.685
360050119005,135.235
360050121011,162.534
360050121012,226.188
360050121021,205.18
360050123001,165.05
360050123002,165.175
360050123003,192.097
360050125001,300.159
360050125002,191.09
360050127011,162.156
360050127012,121.271
360050129011,197.758
360050129012,307.329
360050130001,129.826
360050131001,147.563
360050131002,245.939
360050131003,248.455
360050132000,0.0
360050132001,138.632
360050132002,117.749
360050132003,152.47
360050132004,153.35
360050132005,178.762
360050133001,283.553
360050133002,210.086
360050133003,133.474
360050133004,175.994
360050135001,116.994
360050135002,182.787
360050135003,150.96
360050138001,222.414
360050138002,160.269
360050141001,84.286
360050141002,103.408
360050141003,244.681
360050143001,126.177
360050144001,38.495
360050144002,117.497
360050144003,89.066
360050144004,140.644
360050144005,223.672
360050144006,130.329
360050145001,229.333
360050145002,223.547
360050145003,142.154
360050145004,136.619
360050147011,294.624
360050147012,300.536
360050147013,217.634
360050147021,122.026
360050147022,202.412
360050147023,213.105
360050147024,105.295
360050149001,195.996
360050149002,133.851
360050149003,247.7
360050151001,109.069
360050151002,196.5
360050151003,211.344
360050151004,163.54
