bgrp,FP1_Land_M,FP1_Land_P,FP02_Land_M,FP02_Land_P,FP1_Imp_M,FP1_Imp_P,FP02_Imp_M,FP02_Imp_P,FP1_Pop_C,FP1_Pop_P,FP02_Pop_C,FP02_Pop_P
360050001000,50911,60.6800003052,12594,15.0100002289,21282,41.7999992371,8606,68.3300018311,-99999.0,-99999.0,-99999.0,-99999.0
360050001001,109879,7.07000017166,57755,3.71000003815,65027,59.1800003052,41202,71.3399963379,2875.22998047,25.9200000763,574.690002441,5.17999982834
360050002000,52,66.6699981689,22,28.2099990845,43,82.6900024414,2,9.09000015259,11.9399995804,90.8700027466,1.20000004768,9.13000011444
360050002001,0,0.0,11102,12.4799995422,-99999,-99999.0,7832,70.5500030518,-99999.0,-99999.0,103.059997559,9.52000045776
360050002002,16134,8.85000038147,70070,38.4500007629,6361,39.4300003052,38046,54.2999992371,54.8400001526,2.6400001049,757.630004883,36.4900016785
360050002003,24018,14.8999996185,13832,8.57999992371,18631,77.5699996948,10413,75.2799987793,105.11000061,8.11999988556,79.2600021362,6.13000011444
360050004000,2270,84.2600021362,425,15.779999733,25,1.10000002384,0,0.0,-99999.0,-99999.0,-99999.0,-99999.0
360050004001,0,0.0,11435,18.1900005341,-99999,-99999.0,9032,78.9899978638,-99999.0,-99999.0,266.839996338,26.0
360050004002,127819,39.3100013733,92681,28.5,32712,25.5900001526,31560,34.0499992371,307.579986572,23.2199993134,300.649993896,22.7000007629
360050004003,85268,31.2999992371,109788,40.2999992371,59497,69.7799987793,88056,80.2099990845,471.079986572,19.8400001526,958.679992676,40.3699989319
360050004004,30927,38.6500015259,38107,47.6199989319,10330,33.4000015259,27854,73.0899963379,135.600006104,20.1499996185,393.730010986,58.5099983215
360050016001,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050016002,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050016003,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050016004,0,0.0,45130,14.6199998856,-99999,-99999.0,17680,39.1800003052,-99999.0,-99999.0,23.1499996185,1.50999999046
360050019000,10598,96.3600006104,401,3.65000009537,556,5.25,0,0.0,-99999.0,-99999.0,-99999.0,-99999.0
360050019001,33111,13.0799999237,73343,28.9799995422,32112,96.9800033569,67553,92.1100006104,127.769996643,10.3900003433,260.640014648,21.2000007629
360050019002,0,0.0,14509,17.4400005341,-99999,-99999.0,14057,96.8799972534,-99999.0,-99999.0,61.7400016785,31.5
360050019003,221303,53.3400001526,37280,8.98999977112,213685,96.5599975586,31866,85.4800033569,312.75,31.7700004578,157.25,15.970000267
360050019004,504477,64.1100006104,130727,16.6100006104,446003,88.4100036621,100817,77.1200027466,0.0,0.0,0.0,0.0
360050019005,66161,93.0599975586,4936,6.94000005722,4231,6.40000009537,1428,28.9300003052,-99999.0,-99999.0,-99999.0,-99999.0
360050020001,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050020002,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050020003,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050020004,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050020005,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050020006,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050023001,0,0.0,5183,9.98999977112,-99999,-99999.0,4888,94.3099975586,-99999.0,-99999.0,137.5,5.53000020981
360050023002,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050023003,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050024000,132,51.5600013733,53,20.7000007629,19,14.3900003433,0,0.0,0.0299999993294,75.0,0.00999999977648,25.0
360050024001,25799,3.84999990463,101068,15.0799999237,1332,5.15999984741,26039,25.7600002289,0.0,0.0,70.4300003052,29.2399997711
360050025001,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050025002,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050025003,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050025004,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050025005,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050027011,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050027012,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050027021,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050027022,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
360050027023,0,0.0,0,0.0,-99999,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
