bgrp,NO2_Hospital_Admissions_I_Min,NO2_Hospital_Admissions_I,NO2_Hospital_Admissions_I_Max,NO2_Hospital_Admissions_V_Min,NO2_Hospital_Admissions_V,NO2_Hospital_Admissions_V_Max,NO2_Emergency_Room_Visits_I_Min,NO2_Emergency_Room_Visits_I,NO2_Emergency_Room_Visits_I_Max,NO2_Emergency_Room_Visits_V_Min,NO2_Emergency_Room_Visits_V,NO2_Emergency_Room_Visits_V_Max,NO2_Asthma_Exacerbation_I_Min,NO2_Asthma_Exacerbation_I,NO2_Asthma_Exacerbation_I_Max,NO2_Asthma_Exacerbation_V_Min,NO2_Asthma_Exacerbation_V,NO2_Asthma_Exacerbation_V_Max,NO2_Acute_Respiratory_Symptoms_I_Min,NO2_Acute_Respiratory_Symptoms_I,NO2_Acute_Respiratory_Symptoms_I_Max,NO2_Acute_Respiratory_Symptoms_V_Min,NO2_Acute_Respiratory_Symptoms_V,NO2_Acute_Respiratory_Symptoms_V_Max,O3_Acute_Respiratory_Symptoms_I_Min,O3_Acute_Respiratory_Symptoms_I,O3_Acute_Respiratory_Symptoms_I_Max,O3_Acute_Respiratory_Symptoms_V_Min,O3_Acute_Respiratory_Symptoms_V,O3_Acute_Respiratory_Symptoms_V_Max,O3_Hospital_Admissions_I_Min,O3_Hospital_Admissions_I,O3_Hospital_Admissions_I_Max,O3_Hospital_Admissions_V_Min,O3_Hospital_Admissions_V,O3_Hospital_Admissions_V_Max,O3_Mortality_I_Min,O3_Mortality_I,O3_Mortality_I_Max,O3_Mortality_V_Min,O3_Mortality_V,O3_Mortality_V_Max,O3_School_Loss_Days_I_Min,O3_School_Loss_Days_I,O3_School_Loss_Days_I_Max,O3_School_Loss_Days_V_Min,O3_School_Loss_Days_V,O3_School_Loss_Days_V_Max,O3_Emergency_Room_Visits_I_Min,O3_Emergency_Room_Visits_I,O3_Emergency_Room_Visits_I_Max,O3_Emergency_Room_Visits_V_Min,O3_Emergency_Room_Visits_V,O3_Emergency_Room_Visits_V_Max,PM25_Acute_Bronchitis_I_Min,PM25_Acute_Bronchitis_I,PM25_Acute_Bronchitis_I_Max,PM25_Acute_Bronchitis_V_Min,PM25_Acute_Bronchitis_V,PM25_Acute_Bronchitis_V_Max,PM25_Acute_Myocardial_Infarction_I_Min,PM25_Acute_Myocardial_Infarction_I,PM25_Acute_Myocardial_Infarction_I_Max,PM25_Acute_Myocardial_Infarction_V_Min,PM25_Acute_Myocardial_Infarction_V,PM25_Acute_Myocardial_Infarction_V_Max,PM25_Acute_Respiratory_Symptoms_I_Min,PM25_Acute_Respiratory_Symptoms_I,PM25_Acute_Respiratory_Symptoms_I_Max,PM25_Acute_Respiratory_Symptoms_V_Min,PM25_Acute_Respiratory_Symptoms_V,PM25_Acute_Respiratory_Symptoms_V_Max,PM25_Asthma_Exacerbation_I_Min,PM25_Asthma_Exacerbation_I,PM25_Asthma_Exacerbation_I_Max,PM25_Asthma_Exacerbation_V_Min,PM25_Asthma_Exacerbation_V,PM25_Asthma_Exacerbation_V_Max,PM25_Chronic_Bronchitis_I_Min,PM25_Chronic_Bronchitis_I,PM25_Chronic_Bronchitis_I_Max,PM25_Chronic_Bronchitis_V_Min,PM25_Chronic_Bronchitis_V,PM25_Chronic_Bronchitis_V_Max,PM25_Emergency_Room_Visits_I_Min,PM25_Emergency_Room_Visits_I,PM25_Emergency_Room_Visits_I_Max,PM25_Emergency_Room_Visits_V_Min,PM25_Emergency_Room_Visits_V,PM25_Emergency_Room_Visits_V_Max,PM25_Hospital_Admissions__Cardiovascular_I_Min,PM25_Hospital_Admissions__Cardiovascular_I,PM25_Hospital_Admissions__Cardiovascular_I_Max,PM25_Hospital_Admissions__Cardiovascular_V_Min,PM25_Hospital_Admissions__Cardiovascular_V,PM25_Hospital_Admissions__Cardiovascular_V_Max,PM25_Hospital_Admissions__Respiratory_I_Min,PM25_Hospital_Admissions__Respiratory_I,PM25_Hospital_Admissions__Respiratory_I_Max,PM25_Hospital_Admissions__Respiratory_V_Min,PM25_Hospital_Admissions__Respiratory_V,PM25_Hospital_Admissions__Respiratory_V_Max,PM25_Lower_Respiratory_Symptoms_I_Min,PM25_Lower_Respiratory_Symptoms_I,PM25_Lower_Respiratory_Symptoms_I_Max,PM25_Lower_Respiratory_Symptoms_V_Min,PM25_Lower_Respiratory_Symptoms_V,PM25_Lower_Respiratory_Symptoms_V_Max,PM25_Mortality_I_Min,PM25_Mortality_I,PM25_Mortality_I_Max,PM25_Mortality_V_Min,PM25_Mortality_V,PM25_Mortality_V_Max,PM25_Upper_Respiratory_Symptoms_I_Min,PM25_Upper_Respiratory_Symptoms_I,PM25_Upper_Respiratory_Symptoms_I_Max,PM25_Upper_Respiratory_Symptoms_V_Min,PM25_Upper_Respiratory_Symptoms_V,PM25_Upper_Respiratory_Symptoms_V_Max,PM25_Work_Loss_Days_I_Min,PM25_Work_Loss_Days_I,PM25_Work_Loss_Days_I_Max,PM25_Work_Loss_Days_V_Min,PM25_Work_Loss_Days_V,PM25_Work_Loss_Days_V_Max,SO2_Acute_Respiratory_Symptoms_I_Min,SO2_Acute_Respiratory_Symptoms_I,SO2_Acute_Respiratory_Symptoms_I_Max,SO2_Acute_Respiratory_Symptoms_V_Min,SO2_Acute_Respiratory_Symptoms_V,SO2_Acute_Respiratory_Symptoms_V_Max,SO2_Asthma_Exacerbation_I_Min,SO2_Asthma_Exacerbation_I,SO2_Asthma_Exacerbation_I_Max,SO2_Asthma_Exacerbation_V_Min,SO2_Asthma_Exacerbation_V,SO2_Asthma_Exacerbation_V_Max,SO2_Emergency_Room_Visits_I_Min,SO2_Emergency_Room_Visits_I,SO2_Emergency_Room_Visits_I_Max,SO2_Emergency_Room_Visits_V_Min,SO2_Emergency_Room_Visits_V,SO2_Emergency_Room_Visits_V_Max,SO2_Hospital_Admissions_I_Min,SO2_Hospital_Admissions_I,SO2_Hospital_Admissions_I_Max,SO2_Hospital_Admissions_V_Min,SO2_Hospital_Admissions_V,SO2_Hospital_Admissions_V_Max
360050001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360050001001,0,0,0,71,133,190,0,0,0,1,2,3,0,0,0,14,26,34,0,0,0,0,0,0,0,1,1,24,100,119,0,0,0,0,1,1,0,0,0,719,2766,3373,0,0,0,1,6,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,44,110,0,1,2,14,99,244,0,0,1,2,17,41,0,0,0,23,157,389,0,0,0,0,1,1,0,0,0,2,11,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2248,15702,38842,0,0,0,0,0,0,0,0,0,4,26,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,18,28,50
360050002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360050002001,0,0,0,47,86,121,0,0,0,1,1,2,1,1,1,45,82,108,0,0,0,1,2,3,0,0,1,10,41,49,0,0,0,7,29,35,0,0,0,461,1775,2165,0,0,0,6,24,29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,22,53,0,0,1,6,40,99,0,0,1,4,31,76,0,0,0,14,95,234,0,0,0,0,1,3,0,0,0,1,8,19,0,0,0,1,4,10,0,0,0,0,1,2,0,0,0,1295,9046,22365,0,0,0,0,0,1,0,0,0,2,11,27,0,0,0,0,0,1,0,0,0,5,8,12,0,0,0,1,1,1,0,0,0,13,20,36
360050002002,0,0,0,137,251,351,0,0,0,2,4,5,2,3,4,130,240,313,0,0,0,4,6,8,0,1,2,29,119,142,0,0,0,21,84,102,0,0,0,1344,5171,6306,0,1,1,17,71,85,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,9,63,156,0,1,3,17,117,289,0,1,3,13,89,221,0,0,0,39,275,681,0,0,0,0,3,8,0,0,0,3,22,55,0,0,0,2,11,28,0,0,0,0,2,4,0,0,0,3773,26350,65147,0,0,0,0,1,3,0,0,1,4,31,77,0,0,0,1,1,2,0,0,0,16,24,36,0,0,0,2,2,4,0,0,0,38,59,105
360050002003,0,0,0,60,109,153,0,0,0,1,2,2,1,1,2,57,105,136,0,0,0,2,3,4,0,1,1,13,52,62,0,0,0,9,36,45,0,0,0,585,2251,2745,0,0,0,7,31,37,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,27,68,0,1,1,7,51,126,0,0,1,6,39,96,0,0,0,17,120,296,0,0,0,0,1,3,0,0,0,1,10,24,0,0,0,1,5,12,0,0,0,0,1,2,0,0,0,1642,11471,28360,0,0,0,0,1,1,0,0,0,2,14,34,0,0,0,0,1,1,0,0,0,7,10,16,0,0,0,1,1,2,0,0,0,17,26,46
360050004000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360050004001,0,0,0,28,51,72,0,0,0,0,1,1,0,1,1,28,51,67,0,0,0,1,1,2,0,0,0,6,26,31,0,0,0,4,15,18,0,0,0,281,1079,1316,0,0,0,4,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,33,0,0,1,4,26,63,0,0,1,3,19,48,0,0,0,8,58,143,0,0,0,0,1,2,0,0,0,1,4,10,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,771,5386,13319,0,0,0,0,0,1,0,0,0,1,7,17,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,1,0,0,0,8,12,21
360050004002,0,0,0,122,225,316,0,0,0,2,4,5,1,3,3,122,224,293,0,0,0,3,6,7,0,1,2,28,115,137,0,0,0,17,66,80,0,0,0,1234,4748,5790,0,1,1,16,67,80,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,8,58,143,0,1,3,16,113,278,0,1,3,12,85,211,0,0,0,36,254,628,0,0,0,0,3,7,0,0,0,3,18,45,0,0,0,1,7,18,0,0,0,0,2,4,0,0,0,3394,23694,58588,0,0,0,0,1,3,0,0,0,4,30,74,0,0,0,1,1,2,0,0,0,14,22,33,0,0,0,2,2,3,0,0,0,34,53,94
360050004003,0,0,0,79,145,204,0,0,0,1,2,3,1,2,2,78,144,189,0,0,0,2,4,5,0,1,1,18,74,88,0,0,0,11,42,51,0,0,0,794,3056,3726,0,0,1,10,43,51,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,37,92,0,1,2,10,72,179,0,1,2,8,55,136,0,0,0,23,163,404,0,0,0,0,2,5,0,0,0,2,12,29,0,0,0,1,5,12,0,0,0,0,1,3,0,0,0,2184,15247,37702,0,0,0,0,1,2,0,0,0,3,19,48,0,0,0,0,1,1,0,0,0,9,14,21,0,0,0,1,1,2,0,0,0,22,34,61
