Imp_M,MFor_M,Green_M,MFor_P,Imp_P,Green_P,MFor_PC,Imp_PC,Green_PC,bgrp
41638,2748,31354,3.27999997139,49.6300010681,37.3699989319,-99999.0,-99999.0,-99999.0,360050001000
1005321,35289,519485,2.26999998093,64.6600036621,33.4099998474,3.18,90.64,46.84,360050001001
45,14,33,17.9500007629,57.6899986267,42.3100013733,-99999.0,-99999.0,-99999.0,360050002000
68283,12829,20679,14.4200000763,76.7600021362,23.2399997711,11.45,60.97,18.46,360050002001
105784,43344,74176,23.7900009155,58.0499992371,40.7099990845,21.96,53.59,37.58,360050002002
112169,26601,49028,16.5,69.5899963379,30.4099998474,21.45,90.46,39.54,360050002003
25,689,2546,25.5799999237,0.930000007153,94.5100021362,-99999.0,-99999.0,-99999.0,360050004000
51732,6393,11123,10.1700000763,82.3000030518,17.7000007629,6.62,53.55,11.51,360050004001
116480,97911,206205,30.1100006104,35.8199996948,63.4199981689,68.28,81.23,143.8,360050004002
205768,30877,62449,11.3299999237,75.5299987793,22.9200000763,12.6,83.95,25.48,360050004003
47061,8506,30383,10.6300001144,58.8100013733,37.9700012207,13.05,72.18,46.6,360050004004
45079,16959,32591,21.8299999237,58.0400009155,41.9599990845,6.46,17.16,12.41,360050016001
57733,11786,17697,15.6300001144,76.5400009155,23.4599990845,14.41,70.58,21.63,360050016002
14688,6887,8269,30.0,63.9799995422,36.0200004578,9.04,19.28,10.85,360050016003
190845,54262,115444,17.5799999237,61.8100013733,37.3899993896,37.79,132.9,80.39,360050016004
556,6985,10428,63.5099983215,5.05999994278,94.8199996948,-99999.0,-99999.0,-99999.0,360050019000
213700,19145,39413,7.55999994278,84.4300003052,15.5699996948,22.47,250.82,46.26,360050019001
66671,6970,16515,8.38000011444,80.1500015259,19.8500003815,92.93,888.95,220.2,360050019002
393493,13149,21395,3.17000007629,94.8399963379,5.15999984741,13.28,397.47,21.61,360050019003
683490,17912,101011,2.27999997139,86.8600006104,12.8400001526,-99999.0,-99999.0,-99999.0,360050019004
5659,47012,65439,66.1200027466,7.96000003815,92.0400009155,-99999.0,-99999.0,-99999.0,360050019005
59584,12387,16332,16.3199996948,78.4899978638,21.5100002289,10.82,52.04,14.26,360050020001
54130,16876,21797,22.2299995422,71.2900009155,28.7099990845,8.31,26.64,10.73,360050020002
45561,45884,71685,39.1300010681,38.8600006104,61.1399993896,18.49,18.36,28.89,360050020003
17139,22422,37147,41.2999992371,31.5699996948,68.4300003052,16.3,12.46,27.0,360050020004
15555,2878,3480,15.1199998856,81.7200012207,18.2800006866,4.05,21.88,4.89,360050020005
43199,6830,9731,12.8999996185,81.6200027466,18.3799991608,6.93,43.81,9.87,360050020006
27456,19796,24429,38.1500015259,52.9199981689,47.0800018311,7.25,10.06,8.95,360050023001
