bgrp,IBuff_Pop,SBuff_Pop,Buff_Pop,Buff_Pct,Lane_PctSB,Lane_PctIB
360050001000,-99999,-99999,-99999,-99999.0,0.0,0.0
360050001001,0,0,0,0.0,0.0,0.0
360050002000,-99999,-99999,-99999,-99999.0,0.0,0.0
360050002001,328,0,328,29.2900009155,0.0,0.0
360050002002,0,0,0,0.0,0.0,0.0
360050002003,0,0,0,0.0,0.0,0.0
360050004000,-99999,-99999,-99999,-99999.0,0.0,0.0
360050004001,211,0,211,21.8400001526,0.0,0.0
360050004002,96,10,106,7.38999986649,0.0,0.0
360050004003,0,0,0,0.0,0.0,0.0
360050004004,0,0,0,0.0,0.0,0.0
360050016001,2265,167,2432,92.5800018311,21.2600002289,78.7399978638
360050016002,791,27,818,100.0,15.9300003052,84.0699996948
360050016003,248,448,696,91.3399963379,75.4800033569,24.5200004578
360050016004,1215,150,1365,95.0599975586,21.6399993896,78.3600006104
360050019000,-99999,-99999,-99999,-99999.0,0.0,0.0
360050019001,0,0,0,0.0,9.40999984741,90.5899963379
360050019002,0,0,0,0.0,8.55000019073,91.4499969482
360050019003,971,0,971,98.0800018311,0.0,100.0
360050019004,-99999,-99999,-99999,-99999.0,0.0,100.0
360050019005,-99999,-99999,-99999,-99999.0,0.0,0.0
360050020001,909,220,1129,98.5999984741,12.1899995804,87.8099975586
360050020002,1353,0,1353,66.5800018311,0.0,0.0
360050020003,517,288,805,32.4500007629,0.0,0.0
360050020004,0,0,0,0.0,0.0,0.0
360050020005,491,154,645,90.7200012207,0.0,0.0
360050020006,766,176,942,95.5400009155,33.7400016785,66.2600021362
360050023001,1510,791,2301,84.2900009155,78.2099990845,21.7900009155
360050023002,355,127,482,100.0,89.2699966431,10.7299995422
360050023003,1163,308,1471,85.4700012207,78.3700027466,21.6299991608
360050024000,-99999,-99999,-99999,-99999.0,0.0,0.0
360050024001,0,0,0,0.0,27.3299999237,72.6699981689
360050025001,898,103,1001,100.0,0.0,0.0
360050025002,1400,214,1614,100.0,0.0,0.0
360050025003,1052,0,1052,95.0299987793,0.0,100.0
360050025004,910,0,910,98.5899963379,0.0,100.0
360050025005,687,125,812,95.9800033569,6.73999977112,93.2600021362
360050027011,1690,0,1690,98.4300003052,9.34000015259,90.6600036621
360050027012,1376,20,1396,100.0,0.0,0.0
360050027021,1142,0,1142,95.3300018311,0.0,100.0
360050027022,886,0,886,100.0,0.0,100.0
360050027023,567,0,567,38.9700012207,0.0,0.0
360050027024,0,0,0,0.0,0.0,0.0
360050028000,-99999,-99999,-99999,-99999.0,0.0,100.0
360050028001,1311,83,1394,98.3099975586,14.4300003052,85.5699996948
360050028002,1553,0,1553,77.1500015259,0.0,100.0
360050028003,562,0,562,51.3699989319,0.0,0.0
360050028004,0,0,0,0.0,0.0,0.0
360050031001,1597,0,1597,100.0,0.0,100.0
360050033001,338,71,409,79.7300033569,65.5899963379,34.4099998474
360050033002,5,0,5,0.389999985695,0.0,0.0
360050033003,0,0,0,0.0,0.0,0.0
360050035001,525,13,538,63.8199996948,0.0,0.0
360050035002,111,744,855,55.5600013733,82.75,17.25
360050035003,1379,0,1379,100.0,0.0,100.0
360050037001,82,54,136,55.5099983215,53.0600013733,46.9399986267
360050038001,902,362,1264,100.0,37.3300018311,62.6699981689
360050039001,196,77,273,19.2900009155,0.0,0.0
360050039002,1604,0,1604,93.2600021362,40.6899986267,59.3100013733
360050039003,666,108,774,100.0,26.1800003052,73.8199996948
