bgrp,IWDP_Pop,BWDP_Pop,IWDP_Pct,BWDP_Pct
360050001000,-99999,-99999,-99999.0,-99999.0
360050001001,0,11091,0.0,100.0
360050002000,-99999,-99999,-99999.0,-99999.0
360050002001,1120,0,100.0,0.0
360050002002,1963,11,99.4400024414,0.560000002384
360050002003,1240,0,100.0,0.0
360050004000,-99999,-99999,-99999.0,-99999.0
360050004001,966,0,100.0,0.0
360050004002,1381,53,96.3000030518,3.70000004768
360050004003,1326,1125,54.0999984741,45.9000015259
360050004004,652,0,100.0,0.0
360050016001,2006,621,76.3600006104,23.6399993896
360050016002,818,0,100.0,0.0
360050016003,762,0,100.0,0.0
360050016004,1433,3,99.7900009155,0.209999993443
360050019000,-99999,-99999,-99999.0,-99999.0
360050019001,852,0,100.0,0.0
360050019002,75,0,100.0,0.0
360050019003,953,37,96.2600021362,3.74000000954
360050019004,-99999,-99999,-99999.0,-99999.0
360050019005,-99999,-99999,-99999.0,-99999.0
360050020001,1145,0,100.0,0.0
360050020002,2032,0,100.0,0.0
360050020003,2099,382,84.5999984741,15.3999996185
360050020004,926,450,67.3000030518,32.7000007629
360050020005,711,0,100.0,0.0
360050020006,986,0,100.0,0.0
360050023001,2411,319,88.3199996948,11.6800003052
360050023002,482,0,100.0,0.0
360050023003,1625,96,94.4199981689,5.57999992371
360050024000,-99999,-99999,-99999.0,-99999.0
360050024001,2,2,50.0,50.0
360050025001,1001,0,100.0,0.0
360050025002,1550,64,96.0299987793,3.97000002861
360050025003,1107,0,100.0,0.0
360050025004,923,0,100.0,0.0
360050025005,846,0,100.0,0.0
360050027011,1563,154,91.0299987793,8.97000026703
360050027012,1315,81,94.1999969482,5.80000019073
360050027021,1198,0,100.0,0.0
360050027022,886,0,100.0,0.0
360050027023,1455,0,100.0,0.0
360050027024,936,0,100.0,0.0
360050028000,-99999,-99999,-99999.0,-99999.0
360050028001,1366,52,96.3300018311,3.67000007629
360050028002,1977,36,98.2099990845,1.78999996185
360050028003,807,287,73.7699966431,26.2299995422
360050028004,827,234,77.9499969482,22.0499992371
360050031001,1597,0,100.0,0.0
360050033001,513,0,100.0,0.0
360050033002,1288,0,100.0,0.0
360050033003,1612,0,100.0,0.0
360050035001,843,0,100.0,0.0
360050035002,1511,28,98.1800003052,1.82000005245
360050035003,1379,0,100.0,0.0
360050037001,180,65,73.4700012207,26.5300006866
360050038001,1264,0,100.0,0.0
360050039001,1395,20,98.5899963379,1.40999996662
360050039002,1720,0,100.0,0.0
360050039003,774,0,100.0,0.0
360050039004,1093,0,100.0,0.0
360050039005,1473,0,100.0,0.0
360050040011,1411,9,99.3700027466,0.629999995232
360050041001,1792,0,100.0,0.0
360050041002,1627,0,100.0,0.0
360050041003,69,0,100.0,0.0
360050041004,2575,64,97.5699996948,2.43000006676
360050042001,614,140,81.4300003052,18.5699996948
360050042002,1903,503,79.0899963379,20.9099998474
360050042003,1252,68,94.8499984741,5.15000009537
360050042004,766,0,100.0,0.0
360050042005,897,0,100.0,0.0
360050042006,-99999,-99999,-99999.0,-99999.0
360050042007,755,245,75.5,24.5
360050043001,1062,0,100.0,0.0
360050043002,1866,0,100.0,0.0
360050043003,1148,0,100.0,0.0
360050043004,980,0,100.0,0.0
360050044001,1048,362,74.3300018311,25.6700000763
360050044002,429,57,88.2699966431,11.7299995422
360050044003,1115,528,67.8600006104,32.1399993896
360050044004,1154,104,91.7300033569,8.27000045776
360050046001,1543,12,99.2300033569,0.769999980927
360050048001,1786,0,100.0,0.0
360050048002,2097,0,100.0,0.0
360050050011,1450,0,100.0,0.0
360050050012,1396,0,100.0,0.0
360050050013,963,0,100.0,0.0
360050050014,958,0,100.0,0.0
360050050021,2350,0,100.0,0.0
360050050022,1068,0,100.0,0.0
360050050023,1188,0,100.0,0.0
360050050024,1217,0,100.0,0.0
360050051001,296,0,100.0,0.0
360050051002,2691,104,96.2799987793,3.72000002861
360050051003,2446,273,89.9599990845,10.0399999619
360050052001,717,0,100.0,0.0
360050052002,1314,0,100.0,0.0
360050053001,2506,86,96.6800003052,3.31999993324
360050053002,2077,0,100.0,0.0
360050054001,1154,0,100.0,0.0
360050054002,2280,437,83.9199981689,16.0799999237
360050054003,818,79,91.1900024414,8.81000041962
360050054004,1085,0,100.0,0.0
360050056001,894,1,99.8899993896,0.109999999404
360050056002,790,0,100.0,0.0
360050056003,1026,0,100.0,0.0
360050059021,888,0,100.0,0.0
360050059022,1694,0,100.0,0.0
360050060001,1128,1,99.9100036621,0.0900000035763
360050061001,320,203,61.1899986267,38.8100013733
360050061002,2041,1140,64.1600036621,35.8400001526
360050061003,9,0,100.0,0.0
360050062001,1261,21,98.3600006104,1.63999998569
360050062002,1240,329,79.0299987793,20.9699993134
360050062003,1602,407,79.7399978638,20.2600002289
360050062004,1134,0,100.0,0.0
360050062005,591,0,100.0,0.0
360050063001,-99999,-99999,-99999.0,-99999.0
360050063002,424,0,100.0,0.0
360050063003,856,0,100.0,0.0
360050063004,972,0,100.0,0.0
360050063005,1033,0,100.0,0.0
360050063006,1995,0,100.0,0.0
360050064001,1814,0,100.0,0.0
360050064002,651,0,100.0,0.0
360050064003,604,0,100.0,0.0
360050064004,881,17,98.1100006104,1.88999998569
360050065001,1015,0,100.0,0.0
360050065002,2841,0,100.0,0.0
360050065003,882,0,100.0,0.0
360050065004,599,0,100.0,0.0
360050067001,1103,0,100.0,0.0
360050067002,1161,2,99.8300018311,0.170000001788
360050067003,1444,17,98.8399963379,1.15999996662
360050067004,1438,97,93.6800003052,6.32000017166
360050067005,799,0,100.0,0.0
360050067006,923,0,100.0,0.0
360050068001,1001,0,100.0,0.0
360050068002,689,0,100.0,0.0
360050068003,1207,0,100.0,0.0
360050069001,2858,0,100.0,0.0
360050069002,1641,0,100.0,0.0
360050069003,1554,0,100.0,0.0
360050069004,1293,218,85.5699996948,14.4300003052
360050070001,2577,0,100.0,0.0
360050070002,789,0,100.0,0.0
360050070003,1218,0,100.0,0.0
360050071001,879,0,100.0,0.0
360050071002,1028,0,100.0,0.0
360050072001,1547,0,100.0,0.0
360050072002,2065,0,100.0,0.0
360050072003,956,0,100.0,0.0
360050072004,864,0,100.0,0.0
360050073001,1106,0,100.0,0.0
360050073002,1134,0,100.0,0.0
360050073003,1653,0,100.0,0.0
360050074001,1244,0,100.0,0.0
360050074002,1302,0,100.0,0.0
360050074003,941,223,80.8399963379,19.1599998474
360050075001,1424,0,100.0,0.0
360050075002,1594,0,100.0,0.0
360050075003,1257,168,88.2099990845,11.7899999619
360050075004,368,58,86.3799972534,13.6199998856
360050076001,606,0,100.0,0.0
360050076002,1047,0,100.0,0.0
360050076003,943,0,100.0,0.0
360050076004,1534,0,100.0,0.0
360050076005,1060,0,100.0,0.0
360050077001,1927,0,100.0,0.0
360050078001,1480,0,100.0,0.0
360050078002,2461,172,93.4700012207,6.53000020981
360050078003,1166,0,100.0,0.0
360050078004,1139,0,100.0,0.0
360050079001,1616,0,100.0,0.0
360050079002,725,0,100.0,0.0
360050079003,1020,0,100.0,0.0
360050079004,1390,0,100.0,0.0
360050079005,925,0,100.0,0.0
360050079006,988,69,93.4700012207,6.53000020981
360050083001,1049,0,100.0,0.0
360050083002,731,0,100.0,0.0
360050083003,1374,0,100.0,0.0
360050083004,1395,0,100.0,0.0
360050083005,832,0,100.0,0.0
360050083006,774,0,100.0,0.0
360050084001,815,0,100.0,0.0
360050084002,1458,101,93.5199966431,6.48000001907
360050085001,915,0,100.0,0.0
360050085002,1810,0,100.0,0.0
360050085003,664,0,100.0,0.0
360050085004,812,0,100.0,0.0
360050085005,1256,0,100.0,0.0
360050086001,844,0,100.0,0.0
360050086002,1424,261,84.5100021362,15.4899997711
360050086003,1468,179,89.1299972534,10.8699998856
360050087001,939,0,100.0,0.0
360050087002,1407,0,100.0,0.0
360050087003,948,0,100.0,0.0
360050087004,1037,0,100.0,0.0
360050087005,1135,0,100.0,0.0
